feature,importance_mean,importance_std
promo_symbol_count_clip,0.06993339509044205,0.003652371234307999
ham_strength_to_spam_ratio,0.04103365509656396,0.006415057493111665
url_density,0.0369996725217141,0.002589765576358187
spam_keyword_density,0.026853933111693307,0.0028627425946244523
suspicious_tld_count,0.024876669971974463,0.0038567697713385884
money_keyword_density,0.019324793201437873,0.0025197154111786225
ham_business_density,0.018849975427886245,0.004914911056089208
avg_word_length,0.018511091429576652,0.006721164596250253
punctuation_ratio,0.018365526455451708,0.005616637445571527
whitespace_ratio,0.016775589984748086,0.0030713131372493855
uppercase_ratio,0.016595845785628737,0.005141241286745268
digit_ratio,0.01387556699988408,0.001129023158077185
exclamation_count,0.013558607878440255,0.002336636424437613
safe_security_to_spam_ratio,0.012545261014459897,0.003113592229123781
unique_word_ratio,0.011675227656222842,0.006803016563900087
symbol_pressure_score,0.010915214164418697,0.0015902712180790662
unique_word_count,0.009950669465895956,0.003068857093024201
cta_keyword_density,0.00928087454181652,0.002106236842901243
action_phrase_count,0.006900849017271104,0.000722729745039193
currency_symbol_count,0.006336836864714845,0.0015760785847362192
ham_to_spam_keyword_ratio,0.005698337365420247,0.0008889805086075539
money_keyword_hits,0.005014427043090209,0.0014315238497500079
urgency_keyword_density,0.004993967298969082,0.0012403235068546594
digit_run_count,0.004294531909322652,0.0015663691252515754
safe_security_ham_hits,0.0032021057429937327,0.002236844016752938
exclamation_count_clip,0.00289941319511271,0.0017028277066033768
ham_to_cta_ratio,0.0028860942102222785,0.0012412736464258007
cta_keyword_hits,0.002575299649127083,0.0012410010495569781
urgency_keyword_hits,0.0024951343853525597,0.0016971613156415803
brand_keyword_hits,0.0024304855088316257,0.0019130786837598347
uppercase_token_count_clip,0.0022655936854437896,0.0006215891221903914
question_count,0.0022655936854437896,0.0006215891221903914
has_ham_and_no_url,0.002117078098809411,0.002008939729318086
noise_score,0.0019561757434502615,0.0012385012937301348
email_density,0.0018746338605740709,0.0011139065265212084
has_signature_and_no_cta,0.0018746338605740709,0.0011139065265212084
ham_strength_score,0.0015546747780132986,0.0
has_formal_and_no_cta,0.0015546747780132986,0.0
ham_formal_hits,0.001323764691677698,0.0006797817029110705
